                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85543,                 2.6154,                 1.4426,                0.37569,                0.36952,                0.24407,                 0.1236,                 1.9921,                  8.392,                 2.5704,             0.00053932,             0.00053932,             0.00053932
                      2,                0.65592,                 1.3299,                 1.2373,                0.09761,                0.33992,                0.04818,                0.01249,                  3.311,                 38.688,                 3.4135,              0.0010589,              0.0010589,              0.0010589
                      3,                0.91266,                 1.6333,                 1.4171,                0.12554,                0.28244,                 0.0761,                0.02871,                 2.6499,                 14.072,                 3.7582,              0.0015417,              0.0015417,              0.0015417
                      4,                0.68984,                 1.2462,                 1.3027,                 0.1597,                0.27307,                0.08953,                0.03192,                 2.7461,                 5.7144,                 2.7982,               0.001502,               0.001502,               0.001502
                      5,                0.61372,                 1.1618,                 1.2248,                0.31678,                0.41584,                0.26317,                0.13475,                  1.942,                 3.3355,                 1.9622,               0.001447,               0.001447,               0.001447
                      6,                0.49612,                0.99521,                 1.1588,                0.28655,                0.38609,                0.19221,                0.10862,                 1.9515,                 3.4824,                   2.12,              0.0013919,              0.0013919,              0.0013919
                      7,                 0.5204,                 1.0449,                 1.1605,                 0.1517,                0.58256,                0.12118,                0.08007,                 1.5354,                 3.7095,                 1.7667,              0.0013369,              0.0013369,              0.0013369
                      8,                0.40955,                0.88914,                 1.0817,                0.42071,                0.56868,                0.41101,                0.28763,                  1.424,                 2.5116,                 1.6398,              0.0012819,              0.0012819,              0.0012819
                      9,                0.46621,                0.89861,                  1.115,                0.33416,                0.48136,                 0.3371,                0.23293,                 1.4097,                 2.6405,                 1.8814,              0.0012269,              0.0012269,              0.0012269
                     10,                0.38732,                 0.8318,                 1.0785,                0.44613,                0.54034,                0.43647,                0.29417,                 1.4205,                 1.9478,                 1.7019,              0.0011719,              0.0011719,              0.0011719
                     11,                0.36546,                0.83903,                 1.0477,                0.33709,                0.65968,                0.43572,                0.31913,                 1.1997,                 2.3246,                 1.5778,              0.0011169,              0.0011169,              0.0011169
                     12,                0.35594,                0.85256,                 1.0704,                0.47822,                0.68788,                0.53794,                0.42306,                 1.1645,                 1.6049,                 1.4409,              0.0010619,              0.0010619,              0.0010619
                     13,                0.36721,                 0.8189,                 1.0783,                0.45744,                0.68298,                0.52888,                0.40758,                  1.115,                 1.7925,                 1.4506,              0.0010069,              0.0010069,              0.0010069
                     14,                0.32801,                0.80012,                 1.0464,                0.34959,                0.65431,                0.47481,                0.36581,                 1.1655,                 2.0232,                  1.538,             0.00095186,             0.00095186,             0.00095186
                     15,                0.28896,                0.68877,                 1.0244,                0.53591,                0.65357,                0.56863,                0.46066,                 1.0758,                 1.5549,                 1.4692,             0.00089685,             0.00089685,             0.00089685
                     16,                0.27291,                 0.7304,                 1.0004,                0.46761,                0.72112,                 0.5532,                0.43922,                 1.0583,                  1.796,                 1.4031,             0.00084184,             0.00084184,             0.00084184
                     17,                0.29513,                0.74758,                 1.0501,                0.54612,                0.66385,                0.53301,                0.43058,                 1.0437,                 1.4627,                 1.4047,             0.00078682,             0.00078682,             0.00078682
                     18,                0.25349,                0.64373,                 1.0007,                0.51799,                0.72347,                0.59044,                0.49814,                 1.0019,                 1.5073,                 1.4002,             0.00073181,             0.00073181,             0.00073181
                     19,                0.25186,                0.66405,                 1.0057,                0.62842,                0.66336,                0.62724,                0.55111,                0.95078,                  1.421,                 1.3295,              0.0006768,              0.0006768,              0.0006768
                     20,                0.25213,                0.64698,                0.98122,                0.59003,                0.65735,                0.61582,                0.55272,                0.92796,                 1.3637,                 1.3421,             0.00062179,             0.00062179,             0.00062179
                     21,                 0.8743,                   1.55,                 1.5104,                0.58867,                0.72877,                 0.5953,                0.53286,                0.96531,                 1.3136,                 1.3557,             0.00056678,             0.00056678,             0.00056678
                     22,                 0.8138,                 1.4942,                 1.3912,                0.53451,                0.71145,                0.53216,                0.47069,                0.94727,                 1.4169,                 1.2803,             0.00051177,             0.00051177,             0.00051177
                     23,                0.79603,                 1.3804,                 1.3649,                0.49986,                0.76042,                0.54132,                0.48111,                 0.9631,                 1.3692,                 1.3268,             0.00045676,             0.00045676,             0.00045676
                     24,                0.75455,                 1.3647,                 1.3527,                0.55885,                0.71419,                0.59762,                0.50892,                0.97657,                 1.3241,                 1.2829,             0.00040175,             0.00040175,             0.00040175
                     25,                 0.7861,                 1.3355,                 1.3034,                0.64077,                0.63405,                0.62789,                 0.5273,                0.94057,                 1.2823,                 1.2189,             0.00034674,             0.00034674,             0.00034674
                     26,                0.76391,                 1.3392,                 1.3062,                0.61361,                0.68788,                0.63027,                0.55323,                0.85696,                 1.3625,                 1.1545,             0.00029172,             0.00029172,             0.00029172
                     27,                0.70916,                 1.2766,                 1.3208,                0.52213,                0.77109,                0.62987,                0.56043,                0.87302,                 1.3294,                 1.1908,             0.00023671,             0.00023671,             0.00023671
                     28,                0.71366,                 1.2458,                 1.3462,                0.62336,                0.71586,                0.65357,                 0.5929,                0.82485,                 1.2147,                  1.128,              0.0001817,              0.0001817,              0.0001817
                     29,                0.71616,                 1.3176,                 1.2588,                 0.6539,                0.68691,                0.66873,                0.61002,                0.81557,                 1.1877,                 1.1324,             0.00012669,             0.00012669,             0.00012669
                     30,                0.67432,                 1.2147,                 1.2548,                0.67118,                0.68166,                0.67623,                0.61456,                0.79367,                 1.1538,                 1.0956,             7.1681e-05,             7.1681e-05,             7.1681e-05
